날짜,확진자수,누적확진자수
2020-02-20,13,13
2020-02-21,15,28
2020-02-22,15,43
2020-02-23,9,52
2020-02-24,38,90
2020-02-25,55,145
2020-02-26,81,226
2020-02-27,8,234
2020-02-28,74,308
2020-02-29,151,459
2020-03-01,116,575
2020-03-02,69,644
2020-03-03,145,789
2020-03-04,80,869
2020-03-05,96,965
2020-03-06,84,"1,049"
2020-03-07,157,"1,206"
2020-03-08,146,"1,352"
2020-03-09,72,"1,424"
2020-03-10,30,"1,454"
2020-03-11,22,"1,476"
2020-03-12,18,"1,494"
2020-03-13,11,"1,505"
2020-03-14,13,"1,518"
2020-03-15,13,"1,531"
2020-03-16,5,"1,536"
2020-03-17,10,"1,546"
2020-03-18,1,"1,547"
2020-03-19,2,"1,549"
2020-03-20,11,"1,560"
2020-03-21,0,"1,560"
2020-03-22,5,"1,565"
2020-03-23,2,"1,567"
2020-03-24,5,"1,572"
2020-03-25,3,"1,575"
2020-03-26,3,"1,578"
2020-03-27,4,"1,582"
2020-03-28,5,"1,587"
2020-03-29,1,"1,588"
2020-03-30,1,"1,589"
2020-03-31,2,"1,591"
2020-04-01,2,"1,593"
2020-04-02,2,"1,595"
2020-04-03,2,"1,597"
2020-04-04,1,"1,598"
2020-04-05,1,"1,599"
2020-04-06,3,"1,602"
2020-04-07,1,"1,603"
2020-04-08,2,"1,605"
2020-04-09,0,"1,605"
2020-04-10,0,"1,605"
2020-04-11,0,"1,605"
2020-04-12,0,"1,605"
2020-04-13,1,"1,606"
2020-04-14,0,"1,606"
2020-04-15,0,"1,606"
2020-04-16,0,"1,606"
2020-04-17,0,"1,606"
2020-04-18,0,"1,606"
2020-04-19,2,"1,608"
2020-04-20,0,"1,608"
2020-04-21,1,"1,609"
2020-04-22,0,"1,609"
2020-04-23,1,"1,610"
2020-04-24,0,"1,610"
2020-04-25,2,"1,612"
2020-04-26,0,"1,612"
2020-04-27,0,"1,612"
2020-04-28,1,"1,613"
2020-04-29,0,"1,613"
2020-04-30,0,"1,613"
2020-05-01,0,"1,613"
2020-05-02,0,"1,613"
2020-05-03,2,"1,615"
2020-05-04,0,"1,615"
2020-05-05,0,"1,615"
2020-05-06,0,"1,615"
2020-05-07,0,"1,615"
2020-05-08,3,"1,618"
2020-05-09,0,"1,618"
2020-05-10,1,"1,619"
2020-05-11,0,"1,619"
2020-05-12,0,"1,619"
2020-05-13,1,"1,620"
2020-05-14,0,"1,620"
2020-05-15,1,"1,621"
2020-05-16,0,"1,621"
2020-05-17,0,"1,621"
2020-05-18,0,"1,621"
2020-05-19,0,"1,621"
2020-05-20,0,"1,621"
2020-05-21,0,"1,621"
2020-05-22,0,"1,621"
2020-05-23,1,"1,622"
2020-05-24,0,"1,622"
2020-05-25,0,"1,622"
2020-05-26,1,"1,623"
2020-05-27,1,"1,624"
2020-05-28,0,"1,624"
2020-05-29,0,"1,624"
2020-05-30,1,"1,625"
2020-05-31,1,"1,626"
2020-06-01,1,"1,627"
2020-06-02,0,"1,627"
2020-06-03,0,"1,627"
2020-06-04,0,"1,627"
2020-06-05,0,"1,627"
2020-06-06,0,"1,627"
2020-06-07,2,"1,629"
2020-06-08,1,"1,630"
2020-06-09,0,"1,630"
2020-06-10,0,"1,630"
2020-06-11,0,"1,630"
2020-06-12,0,"1,630"
2020-06-13,0,"1,630"
2020-06-14,1,"1,631"
2020-06-15,0,"1,631"
2020-06-16,0,"1,631"
2020-06-17,0,"1,631"
2020-06-18,0,"1,631"
2020-06-19,0,"1,631"
2020-06-20,2,"1,633"
2020-06-21,0,"1,633"
2020-06-22,0,"1,633"
2020-06-23,1,"1,634"
2020-06-24,0,"1,634"
2020-06-25,0,"1,634"
2020-06-26,0,"1,634"
2020-06-27,0,"1,634"
2020-06-28,0,"1,634"
2020-06-29,0,"1,634"
2020-06-30,0,"1,634"
2020-07-01,0,"1,634"
2020-07-02,1,"1,635"
2020-07-03,5,"1,640"
2020-07-04,0,"1,640"
2020-07-05,0,"1,640"
2020-07-06,0,"1,640"
2020-07-07,0,"1,640"
2020-07-08,0,"1,640"
2020-07-09,0,"1,640"
2020-07-10,0,"1,640"
2020-07-11,0,"1,640"
2020-07-12,0,"1,640"
2020-07-13,0,"1,640"
2020-07-14,0,"1,640"
2020-07-15,0,"1,640"
2020-07-16,2,"1,642"
2020-07-17,0,"1,642"
2020-07-18,0,"1,642"
2020-07-19,0,"1,642"
2020-07-20,1,"1,643"
2020-07-21,0,"1,643"
2020-07-22,0,"1,643"
2020-07-23,0,"1,643"
2020-07-24,1,"1,644"
2020-07-25,0,"1,644"
2020-07-26,0,"1,644"
2020-07-27,0,"1,644"
2020-07-28,0,"1,644"
2020-07-29,0,"1,644"
2020-07-30,0,"1,644"
2020-07-31,0,"1,644"
2020-08-01,0,"1,644"
2020-08-02,0,"1,644"
2020-08-03,0,"1,644"
2020-08-04,0,"1,644"
2020-08-05,0,"1,644"
2020-08-06,1,"1,645"
2020-08-07,0,"1,645"
2020-08-08,0,"1,645"
2020-08-09,0,"1,645"
2020-08-10,0,"1,645"
2020-08-11,0,"1,645"
2020-08-12,0,"1,645"
2020-08-13,0,"1,645"
2020-08-14,0,"1,645"
2020-08-15,0,"1,645"
2020-08-16,0,"1,645"
2020-08-17,1,"1,646"
2020-08-18,0,"1,646"
2020-08-19,1,"1,647"
2020-08-20,1,"1,648"
2020-08-21,5,"1,653"
2020-08-22,2,"1,655"
2020-08-23,0,"1,655"
2020-08-24,4,"1,659"
2020-08-25,0,"1,659"
2020-08-26,0,"1,659"
2020-08-27,0,"1,659"
2020-08-28,1,"1,660"
2020-08-29,0,"1,660"
2020-08-30,0,"1,660"
2020-08-31,1,"1,661"
2020-09-01,2,"1,663"
2020-09-02,0,"1,663"
2020-09-03,1,"1,664"
2020-09-04,0,"1,664"
2020-09-05,1,"1,665"
2020-09-06,1,"1,666"
2020-09-07,1,"1,667"
2020-09-08,0,"1,667"
2020-09-09,0,"1,667"
2020-09-10,0,"1,667"
2020-09-11,0,"1,667"
2020-09-12,3,"1,670"
2020-09-13,0,"1,670"
2020-09-14,0,"1,670"
2020-09-15,0,"1,670"
2020-09-16,1,"1,671"
2020-09-17,0,"1,671"
2020-09-18,0,"1,671"
2020-09-19,1,"1,672"
2020-09-20,0,"1,672"
2020-09-21,0,"1,672"
2020-09-22,0,"1,672"
2020-09-23,0,"1,672"
2020-09-24,0,"1,672"
2020-09-25,0,"1,672"
2020-09-26,0,"1,672"
2020-09-27,0,"1,672"
2020-09-28,0,"1,672"
2020-09-29,1,"1,673"
2020-09-30,0,"1,673"
2020-10-01,0,"1,673"
2020-10-02,0,"1,673"
2020-10-03,0,"1,673"
2020-10-04,0,"1,673"
2020-10-05,0,"1,673"
2020-10-06,0,"1,673"
2020-10-07,0,"1,673"
2020-10-08,1,"1,674"
2020-10-09,0,"1,674"
2020-10-10,0,"1,674"
2020-10-11,0,"1,674"
2020-10-12,0,"1,674"
2020-10-13,0,"1,674"
2020-10-14,0,"1,674"
2020-10-15,0,"1,674"
2020-10-16,0,"1,674"
2020-10-17,0,"1,674"
2020-10-18,0,"1,674"
2020-10-19,0,"1,674"
2020-10-20,0,"1,674"
2020-10-21,0,"1,674"
2020-10-22,0,"1,674"
2020-10-23,0,"1,674"
2020-10-24,0,"1,674"
2020-10-25,0,"1,674"
2020-10-26,0,"1,674"
2020-10-27,0,"1,674"
2020-10-28,0,"1,674"
2020-10-29,0,"1,674"
2020-10-30,5,"1,679"
2020-10-31,0,"1,679"
2020-11-01,0,"1,679"
2020-11-02,0,"1,679"
2020-11-03,0,"1,679"
2020-11-04,1,"1,680"
2020-11-05,0,"1,680"
2020-11-06,0,"1,680"
2020-11-07,1,"1,681"
2020-11-08,1,"1,682"
2020-11-09,0,"1,682"
2020-11-10,0,"1,682"
2020-11-11,0,"1,682"
2020-11-12,0,"1,682"
2020-11-13,0,"1,682"
2020-11-14,0,"1,682"
2020-11-15,0,"1,682"
2020-11-16,0,"1,682"
2020-11-17,0,"1,682"
2020-11-18,0,"1,682"
2020-11-19,0,"1,682"
2020-11-20,1,"1,683"
2020-11-21,0,"1,683"
2020-11-22,1,"1,684"
2020-11-23,1,"1,685"
2020-11-24,1,"1,686"
2020-11-25,1,"1,687"
2020-11-26,0,"1,687"
2020-11-27,0,"1,687"
2020-11-28,0,"1,687"
2020-11-29,1,"1,688"
2020-11-30,1,"1,689"
2020-12-01,2,"1,691"
2020-12-02,0,"1,691"
2020-12-03,4,"1,695"
2020-12-04,0,"1,695"
2020-12-05,0,"1,695"
2020-12-06,2,"1,697"
2020-12-07,1,"1,698"
2020-12-08,2,"1,700"
2020-12-09,2,"1,702"
2020-12-10,0,"1,702"
2020-12-11,6,"1,708"
2020-12-12,3,"1,711"
2020-12-13,2,"1,713"
2020-12-14,4,"1,717"
2020-12-15,16,"1,733"
2020-12-16,7,"1,740"
2020-12-17,1,"1,741"
2020-12-18,3,"1,744"
2020-12-19,6,"1,750"
2020-12-20,5,"1,755"
2020-12-21,1,"1,756"
2020-12-22,2,"1,758"
2020-12-23,1,"1,759"
2020-12-24,2,"1,761"
2020-12-25,8,"1,769"
2020-12-26,3,"1,772"
2020-12-27,7,"1,779"
2020-12-28,9,"1,788"
2020-12-29,14,"1,802"
2020-12-30,14,"1,816"
2020-12-31,9,"1,825"
2021-01-01,5,"1,830"
2021-01-02,6,"1,836"
2021-01-03,5,"1,841"
2021-01-04,4,"1,845"
2021-01-05,4,"1,849"
2021-01-06,2,"1,851"
2021-01-07,2,"1,853"
2021-01-08,5,"1,858"
2021-01-09,12,"1,870"
2021-01-10,2,"1,872"
2021-01-11,8,"1,880"
2021-01-12,7,"1,887"
2021-01-13,2,"1,889"
2021-01-14,4,"1,893"
2021-01-15,2,"1,895"
2021-01-16,1,"1,896"
2021-01-17,1,"1,897"
2021-01-18,2,"1,899"
2021-01-19,3,"1,902"
2021-01-20,4,"1,906"
2021-01-21,0,"1,906"
2021-01-22,3,"1,909"
2021-01-23,7,"1,916"
2021-01-24,5,"1,921"
2021-01-25,2,"1,923"
2021-01-26,2,"1,925"
2021-01-27,0,"1,925"
2021-01-28,3,"1,928"
2021-01-29,0,"1,928"
2021-01-30,1,"1,929"
2021-01-31,3,"1,932"
